,show_id,type,title,director,cast,country,date_added,release_year,rating,duration,listed_in,description,title_clean,tconst,titleType,primaryTitle,originalTitle,isAdult,startYear,endYear,runtimeMinutes,genres,primaryTitle_clean,averageRating,numVotes
614,s1004,TV Show,Zero,,"Giuseppe Dave Seke, Haroun Fall, Beatrice Grannò, Dylan Magon, Daniela Scattolin, Madior Fall, Virgina Diop",Italy,"April 21, 2021",2021,TV-MA,1 Season,"International TV Shows, TV Comedies, TV Dramas","A shy teen with the power to turn invisible must get it under control to help defend his neighborhood, putting aside the pursuit of his artistic dream.",zero,tt15072452,movie,Zero,Zero,0.0,2021.0,,,Action,zero,,
615,s1004,TV Show,Zero,,"Giuseppe Dave Seke, Haroun Fall, Beatrice Grannò, Dylan Magon, Daniela Scattolin, Madior Fall, Virgina Diop",Italy,"April 21, 2021",2021,TV-MA,1 Season,"International TV Shows, TV Comedies, TV Dramas","A shy teen with the power to turn invisible must get it under control to help defend his neighborhood, putting aside the pursuit of his artistic dream.",zero,tt15137370,movie,Zero,Zero,0.0,2021.0,,,Comedy,zero,,
616,s1012,Movie,Free to Play,,,United States,"April 19, 2021",2014,TV-14,76 min,Documentaries,This documentary follows three professional video game players as they compete in an international tournament with a million-dollar prize.,free to play,tt3203290,movie,Free to Play,Free to Play,0.0,2014.0,,75,"Action,Documentary",free to play,7.6,13660.0
617,s1014,Movie,Miss Sloane,John Madden,"Jessica Chastain, Mark Strong, Gugu Mbatha-Raw, Michael Stuhlbarg, Raoul Bhaneja, John Lithgow, Sam Waterston, Chuck Shamata, Jake Lacy, Alison Pill, David Wilson Barnes","France, United States, United Kingdom, Canada","April 19, 2021",2016,R,132 min,Thrillers,A tenacious Capitol Hill lobbyist with a well-earned reputation for winning takes on the most challenging battle of her career.,miss sloane,tt4540710,movie,Miss Sloane,Miss Sloane,0.0,2016.0,,132,Drama,miss sloane,7.5,86247.0
618,s1016,Movie,American Me,Edward James Olmos,"Edward James Olmos, William Forsythe, Pepe Serna, Danny De La Paz, Evelina Fernandez, Cary-Hiroyuki Tagawa, Daniel Villarreal, Sal Lopez, Daniel Haro, Domingo Ambriz",United States,"April 17, 2021",1992,R,126 min,Dramas,Three friends born in poverty create their own capitalist dream as powerful gang members. Time in prison makes one of them consider a fresh beginning.,american me,tt0103671,movie,American Me,American Me,0.0,1992.0,,125,"Biography,Crime,Drama",american me,7.1,11054.0
619,s1017,Movie,Delhi Belly,Abhinay Deo,"Imran Khan, Vir Das, Kunaal Roy Kapur, Poorna Jagannathan, Shenaz Treasury, Vijay Raaz, Paresh Ganatra, Rahul Singh",India,"April 17, 2021",2011,TV-MA,101 min,"Action & Adventure, Comedies, International Movies","Three flatmates get involved in the shady business belonging to one roomie's fiancé, and discover that a global crime syndicate is gunning for them.",delhi belly,tt1934231,movie,Delhi Belly,Delhi Belly,0.0,2011.0,,103,"Action,Comedy,Crime",delhi belly,7.6,33584.0
620,s1019,Movie,Jaane Tu... Ya Jaane Na,Abbas Tyrewala,"Imran Khan, Genelia D'Souza, Manjari Fadnis, Ayaz Khan, Prateik Babbar, Ratna Pathak Shah, Arbaaz Khan, Sohail Khan",India,"April 17, 2021",2008,TV-14,147 min,"Comedies, International Movies, Music & Musicals",Soft-spoken Jai and spitfire beauty Aditi couldn't be more different – but their family and friends know that they're a perfect match.,jaane tu... ya jaane na,tt0473367,movie,Jaane Tu... Ya Jaane Na,Jaane Tu... Ya Jaane Na,0.0,2008.0,,155,"Comedy,Drama,Romance",jaane tu... ya jaane na,7.4,28963.0
621,s1024,Movie,Ajeeb Daastaans,"Shashank Khaitan, Raj Mehta, Neeraj Ghaywan, Kayoze Irani","Fatima Sana Shaikh, Jaideep Ahlawat, Armaan Ralhan, Nushrat Bharucha, Abhishek Banerjee, Inayat Verma, Konkona Sen Sharma, Aditi Rao Hydari, Shefali Shah, Manav Kaul, Tota Roy Chowdhury",India,"April 16, 2021",2021,TV-MA,142 min,"Dramas, Independent Movies, International Movies",Four shorts explore the surprising ways in which unexpected catalysts inflame the uncomfortable emotions simmering under fractured relationships.,ajeeb daastaans,tt14091818,movie,Ajeeb Daastaans,Ajeeb Daastaans,0.0,2021.0,,142,"Drama,Romance",ajeeb daastaans,6.7,6692.0
622,s1028,Movie,Crimson Peak,Guillermo del Toro,"Mia Wasikowska, Jessica Chastain, Tom Hiddleston, Charlie Hunnam, Jim Beaver, Burn Gorman, Leslie Hope, Doug Jones, Jonathan Hyde, Bruce Gray","Canada, United States, Mexico","April 16, 2021",2015,R,119 min,"Horror Movies, Romantic Movies, Sci-Fi & Fantasy","After marrying a mysterious British aristocrat, a young heiress moves into his crumbling, creepy ancestral home and finds it conceals sinister secrets.",crimson peak,tt2554274,movie,Crimson Peak,Crimson Peak,0.0,2015.0,,119,"Drama,Horror,Mystery",crimson peak,6.5,163971.0
623,s1030,Movie,Doctor Bello,Tony Abulu,"Isaiah Washington, Vivica A. Fox, Jimmy Jean-Louis, Genevieve Nnaji, Stephanie Okereke, Justus Esiri, Ebbe Bassey, Jon Freda, Evan Brinkman",United States,"April 16, 2021",2013,TV-MA,96 min,"Dramas, International Movies",A troubled doctor sets out to save the life of a miracle worker who cured his cancer patient using an unprecedented and mysterious remedy.,doctor bello,tt2723358,movie,Doctor Bello,Doctor Bello,0.0,2013.0,,95,"Action,Drama",doctor bello,5.0,60.0
624,s1031,Movie,Four Sisters Before the Wedding,Mae Czarina Cruz,"Alexa Ilacad, Charlie Dizon, Gillian Vicencio, Belle Mariano, Dominic Ochoa, Carmina Villaroel, Irma Adlawan, Kakai Bautista, Cai Cortez, Jameson Blake, Joao Constancia, Jeremiah Lisbo, Clarence Delgado, Pinky Amador, Minnie Aguilar, Gigi De Lana, Toni Gonzaga, Bea Alonzo, Angel Locsin, Shaina Magdayao, Enchong Dee",Philippines,"April 16, 2021",2020,TV-MA,116 min,"Children & Family Movies, Comedies, Dramas","When their parents' marriage threatens to crumble, the teenage Salazar siblings plot to reconcile them before their 20th wedding anniversary.",four sisters before the wedding,tt11867144,movie,Four Sisters Before the Wedding,Four Sisters Before the Wedding,0.0,2020.0,,116,"Comedy,Drama",four sisters before the wedding,6.1,316.0
625,s1032,Movie,Into the Beat,Stefan Westerwelle,"Alexandra Pfeifer, Yalany Marschner, Trystan Pütter, Helen Schneider, Julius Nitschkoff, Dennis Kyere, Ina Geraldine Guy, Katrin Pollitt, Julia Strowski, Anton Wichers",Germany,"April 16, 2021",2020,TV-14,102 min,"Dramas, International Movies, Romantic Movies",A teen ballerina discovers hip-hop by chance and is faced with an impossible choice: Does she follow her parents’ footsteps... or her newfound passion?,into the beat,tt10662234,movie,Into the Beat,Into the Beat - Dein Herz tanzt,0.0,2020.0,,102,"Drama,Music,Romance",into the beat,5.4,1673.0
626,s1034,Movie,Rush,Ron Howard,"Chris Hemsworth, Daniel Brühl, Olivia Wilde, Alexandra Maria Lara, Pierfrancesco Favino, David Calder, Natalie Dormer, Stephen Mangan, Christian McKay, Alistair Petrie","United Kingdom, Germany, United States","April 16, 2021",2013,R,123 min,"Action & Adventure, Dramas, International Movies","In the 1970s, a rivalry propels race car drivers Niki Lauda and James Hunt to fame and glory — until a horrible accident threatens to end it all.",rush,tt1979320,movie,Rush,Rush,0.0,2013.0,,123,"Biography,Drama,Sport",rush,8.1,536475.0
627,s1034,Movie,Rush,Ron Howard,"Chris Hemsworth, Daniel Brühl, Olivia Wilde, Alexandra Maria Lara, Pierfrancesco Favino, David Calder, Natalie Dormer, Stephen Mangan, Christian McKay, Alistair Petrie","United Kingdom, Germany, United States","April 16, 2021",2013,R,123 min,"Action & Adventure, Dramas, International Movies","In the 1970s, a rivalry propels race car drivers Niki Lauda and James Hunt to fame and glory — until a horrible accident threatens to end it all.",rush,tt5951044,tvSeries,Rush,Rush,0.0,2013.0,2015.0,30,Drama,rush,,
628,s1036,Movie,The Zookeeper's Wife,Niki Caro,"Jessica Chastain, Johan Heldenbergh, Daniel Brühl, Timothy Radford, Efrat Dor, Iddo Goldberg, Shira Haas, Michael McElhatton, Val Maloku, Goran Kostic","Czech Republic, United Kingdom, United States","April 16, 2021",2017,PG-13,127 min,Dramas,"When the Nazis invade Poland, Warsaw Zoo caretakers work with the underground resistance to save Jews from the horrors of the Third Reich.",the zookeeper's wife,tt1730768,movie,The Zookeeper's Wife,The Zookeeper's Wife,0.0,2017.0,,127,"Biography,Drama,History",the zookeeper's wife,7.0,48380.0
629,s1037,Movie,Time Trap,"Mark Dennis, Ben Foster","Andrew Wilson, Cassidy Gifford, Brianne Howey, Reiley McClendon, Olivia Draguicevich, Max Wright, Hans Marrero, Rich Skidmore, Chris Sturgeon, Gopal Bidari",United States,"April 16, 2021",2017,TV-14,88 min,"Action & Adventure, Sci-Fi & Fantasy","While searching for their missing archaeology professor, a group of students discovers a cave where time passes differently than it does on the surface.",time trap,tt4815122,movie,Time Trap,Time Trap,0.0,2017.0,,87,"Action,Adventure,Mystery",time trap,6.2,48002.0
630,s1040,Movie,Dark City Beneath the Beat,TT The Artist,"Uneek, Mighty Mark, Tsu Terry, TT The Artist",United States,"April 15, 2021",2020,TV-MA,65 min,"Documentaries, Music & Musicals","In this documentary, TT the Artist captures the irrepressible bounce and infectious beats of a Baltimore club scene that demands to be seen and heard.",dark city beneath the beat,tt11916314,movie,Dark City Beneath the Beat,Dark City Beneath the Beat,0.0,2020.0,,65,Documentary,dark city beneath the beat,6.7,168.0
631,s1045,TV Show,High-Rise Invasion,,"Haruka Shiraishi, Shiki Aoki, Akira Sekine, Junya Enoki, Yuuichirou Umehara, Megumi Ogata, Shoya Chiba, Makoto Furukawa, Seiro Ogino, Koji Yusa, Chika Anzai, Asami Seto, Shizuka Ito, Juri Kimura, Kaito Ishikawa, Yoko Hikasa, Jun Fukuyama",Japan,"April 15, 2021",2021,TV-MA,1 Season,"Anime Series, International TV Shows, TV Thrillers","High schooler Yuri finds herself atop a skyscraper in a strange world, where she must survive against masked assailants bent on killing their prey.",high-rise invasion,tt13352232,tvSeries,High-Rise Invasion,Tenkû Shinpan,0.0,2021.0,2021.0,25,"Action,Animation,Horror",high-rise invasion,6.5,5045.0
632,s1046,TV Show,Next in Fashion,,"Tan France, Alexa Chung",United States,"April 15, 2021",2020,TV-14,1 Season,Reality TV,"Talented designers from around the world compete for $250,000 and the chance to become the next big thing in fashion.",next in fashion,tt10394770,tvSeries,Next in Fashion,Next in Fashion,0.0,2020.0,2023.0,50,Reality-TV,next in fashion,7.3,5398.0
633,s1050,TV Show,Ricky Zoom,,"Max Fincham, Twinkle Jaiswal, Bradley Bissett, Dylan Naden, Adam Longworth, Ashton Frank, Edward Moloney, Esther Coles, Jess Robinson, Miranda Pointer, Osian Thompson, Simon Lipkin, Richard David-Caine","China, United Kingdom","April 15, 2021",2019,TV-Y,1 Season,"British TV Shows, Kids' TV",Race along with Ricky Zoom and his loyal Bike Buddies as they zip around their two-wheeled town of Wheelford on rescue missions and learn speedy stunts!,ricky zoom,tt10932166,tvSeries,Ricky Zoom,Hasbro's Ricky Zoom,0.0,2019.0,,22,"Animation,Family",ricky zoom,5.6,129.0
634,s1051,Movie,Ride or Die,Ryuichi Hiroki,"Kiko Mizuhara, Honami Sato, Yoko Maki, Anne Suzuki, Tetsushi Tanaka, Sara Minami, Yui Uemura, Shinya Niiro, Shunsuke Tanaka, Setsuko Karasuma",Japan,"April 15, 2021",2021,TV-MA,143 min,"Dramas, International Movies, LGBTQ Movies","Rei helps the woman she’s been in love with for years escape her abusive husband. While on the run, their feelings for each other catch fire.",ride or die,tt14164234,movie,Ride or Die,Kanojo,0.0,2021.0,,142,"Crime,Drama,Romance",ride or die,5.6,2846.0
635,s1051,Movie,Ride or Die,Ryuichi Hiroki,"Kiko Mizuhara, Honami Sato, Yoko Maki, Anne Suzuki, Tetsushi Tanaka, Sara Minami, Yui Uemura, Shinya Niiro, Shunsuke Tanaka, Setsuko Karasuma",Japan,"April 15, 2021",2021,TV-MA,143 min,"Dramas, International Movies, LGBTQ Movies","Rei helps the woman she’s been in love with for years escape her abusive husband. While on the run, their feelings for each other catch fire.",ride or die,tt7866320,movie,Ride or Die,Ride or Die,0.0,2021.0,,81,"Crime,Drama,Romance",ride or die,3.4,65.0
636,s1052,TV Show,Sonic X,,"Junichi Kanemaru, Sanae Kobayashi, Ryo Hirohashi, Taeko Kawata, Nobutoshi Canna, Koji Yusa, Rumi Ochiai, Sayaka Aoki, Chikao Otsuka",Japan,"April 15, 2021",2003,TV-Y7,2 Seasons,"Anime Series, Kids' TV","A mission gone awry transports Sonic the Hedgehog, his friends, Dr. Eggman and the Chaos Emeralds to another dimension: Earth.",sonic x,tt0367413,tvSeries,Sonic X,Sonic X,0.0,2003.0,2006.0,30,"Action,Adventure,Animation",sonic x,6.3,6347.0
637,s1053,Movie,The Master,Paul Thomas Anderson,"Joaquin Phoenix, Philip Seymour Hoffman, Amy Adams, Laura Dern, Kevin J. O'Connor, Jesse Plemons, Rami Malek, Christopher Evan Welch, Madisen Beaty, Ambyr Childers, Price Carson",United States,"April 15, 2021",2012,R,137 min,"Dramas, Independent Movies","A heavy-drinking loner finds some semblance of a family when he stumbles onto the ship of Lancaster Dodd, the charismatic leader of a new ""religion.""",the master,tt1560747,movie,The Master,The Master,0.0,2012.0,,138,"Drama,History",the master,7.1,192728.0
638,s1056,Movie,Zoot Suit,Luis Valdez,"Daniel Valdez, Edward James Olmos, Charles Aidman, Tyne Daly, John Anderson, Abel Franco, Mike Gomez, Francis X. McCarthy, Alma Martínez, Lupe Ontiveros, Tony Plana",United States,"April 15, 2021",1981,R,103 min,"Cult Movies, Dramas, Music & Musicals","In this drama based on a 1940s trial, the members of a Mexican American gang are sentenced to San Quentin for a murder they may not have committed.",zoot suit,tt0083365,movie,Zoot Suit,Zoot Suit,0.0,1981.0,,103,"Drama,Musical",zoot suit,6.7,1462.0
639,s1058,TV Show,Dad Stop Embarrassing Me!,,"Jamie Foxx, David Alan Grier, Kyla-Drew, Porscha Coleman, Jonathan Kite, Heather Hemmens, Valente Rodriguez",United States,"April 14, 2021",2021,TV-14,1 Season,TV Comedies,A single dad and cosmetics brand owner figures out fatherhood on the fly when his strong-minded teen daughter moves in with him.,dad stop embarrassing me!,tt13018090,tvSeries,Dad Stop Embarrassing Me!,Dad Stop Embarrassing Me,0.0,2021.0,2021.0,25,"Comedy,Family",dad stop embarrassing me!,4.3,2439.0
640,s1059,TV Show,Fate: The Winx Saga,,"Abigail Cowen, Hannah Van Der Westhuysen, Precious Mustapha, Eliot Salt, Elisha Applebaum, Danny Griffin, Sadie Soverall, Freddie Thorp, Rob James-Collier, Eve Best, Lesley Sharp","Italy, United Kingdom","April 14, 2021",2021,TV-MA,1 Season,"British TV Shows, International TV Shows, TV Dramas","Determined to master their enchanting powers, a group of teens navigate rivalry, romance and supernatural studies at Alfea, a magical boarding school.",fate: the winx saga,tt8179402,tvSeries,Fate: The Winx Saga,Fate: The Winx Saga,0.0,2021.0,2022.0,,"Action,Adventure,Drama",fate: the winx saga,6.8,61934.0
641,s1061,TV Show,Indian Matchmaking,,,"United States, India","April 14, 2021",2020,TV-14,1 Season,"Reality TV, Romantic TV Shows","Matchmaker Sima Taparia guides clients in the U.S. and India in the arranged marriage process, offering an inside look at the custom in a modern era.",indian matchmaking,tt12580168,tvSeries,Indian Matchmaking,Indian Matchmaking,0.0,2020.0,,40,"Documentary,Family,News",indian matchmaking,6.3,4514.0
642,s1063,TV Show,Law School,,"Kim Myung-min, Kim Beom, Ryu Hye-young, Lee Jung-eun, Park Hyuk-kwon, An Nae-sang, Chung Won-joong, Lee Su-kyoung, Lee David, Go Youn-jung, Hyunwoo",South Korea,"April 14, 2021",2021,TV-14,1 Season,"Crime TV Shows, International TV Shows, TV Dramas","When a grim incident occurs at their prestigious school, justice through law is put to a test by a tough law professor and his ambitious students.",law school,tt13885336,tvSeries,Law School,Law School,0.0,2021.0,,65,"Crime,Drama,Mystery",law school,7.9,3518.0
643,s1064,TV Show,Living with Yourself,,"Paul Rudd, Aisling Bea, Desmin Borges, Zoë Chao, Karen Pittman",United States,"April 14, 2021",2019,TV-MA,1 Season,"TV Comedies, TV Dramas","Burned out on life, Miles undergoes a strange procedure at a strip mall spa – and wakes to find he's been replaced by a better version of himself.",living with yourself,tt8880894,tvSeries,Living with Yourself,Living with Yourself,0.0,2019.0,2019.0,,"Comedy,Drama,Sci-Fi",living with yourself,7.1,36767.0
644,s1065,TV Show,Signal,,"Kim Hye-su, Lee Je-hoon, Cho Jin-woong, Jang Hyun-sung, Jeong Hae-gyoon, Kim Won-hae, Jung Han-bi, Lee Yu-jun, Son Hyeon-ju",South Korea,"April 14, 2021",2016,TV-MA,1 Season,"Crime TV Shows, International TV Shows, Korean TV Shows","Communicating via a walkie-talkie that transcends time, a profiler from 2015 and a detective from 1989 join forces to tackle crimes and injustice.",signal,tt5332206,tvSeries,Signal,Sigeuneol,0.0,2016.0,2016.0,80,"Crime,Drama,Fantasy",signal,8.5,10778.0
645,s1067,Movie,The Soul,Cheng Wei-hao,"Chang Chen, Janine Chang, Christopher Lee, Anke Sun, Lin Hui-min, Samuel Ku, Zhang Bojia, Lu Hsueh-feng","China, Taiwan","April 14, 2021",2021,TV-MA,130 min,"Dramas, International Movies, Thrillers","While investigating the death of a businessman, a prosecutor and his wife uncover occult secrets as they face their own life-and-death dilemma.",the soul,tt13598976,movie,The Soul,Ji hun,0.0,2021.0,,130,"Drama,Horror,Mystery",the soul,6.6,3566.0
646,s1068,TV Show,The Underclass,Pass Patthanakumjon,"Nannaphas Loetnamchoetsakun, Praewa Suthamphong, Sumitra Duangkaew, Tanutchai Wijitvongtong, Tarisa Preechatangkit, Natticha Chantaravareelekha, Miori Ohkubo, Pakwan Noijaiboon, Napaphat Worraphuttanon, Vathusiri Phuwapunyasiri, Rinrada Inthaisong, Suchaya Saenkhot, Mananya Kaoju, Kandis Wanarun, Ekapol Deebunmee, Panta Pattanaampaiwong, Rachaya Tupkunanon, Supasawad Buranawech, Thitirat Rojsangrat, Sawanee Utoomma, Phattharanarin Mueanarit, Chanyapuk Numprasop",Thailand,"April 14, 2021",2020,TV-MA,1 Season,"International TV Shows, TV Dramas, Teen TV Shows","After getting dropped from an elite program, a student gets tangled in the affairs of a high school gang while trying to find her own identity.",the underclass,tt12665438,tvSeries,The Underclass,The Underclass,0.0,2020.0,,55,Drama,the underclass,5.7,111.0
647,s1069,TV Show,Unnatural Selection,,,United States,"April 14, 2021",2019,TV-MA,1 Season,"Docuseries, Science & Nature TV","From eradicating disease to selecting a child’s traits, gene editing gives humans the chance to hack biology. Meet the real people behind the science.",unnatural selection,tt11063952,tvSeries,Unnatural Selection,Unnatural Selection,0.0,2019.0,2019.0,60,Documentary,unnatural selection,7.8,2270.0
648,s1071,Movie,Why Did You Kill Me?,Fredrick Munk,,United States,"April 14, 2021",2021,TV-MA,84 min,Documentaries,The line between justice and revenge blurs when a devastated family uses social media to track down the people who killed 24-year-old Crystal Theobald.,why did you kill me?,tt14318430,movie,Why Did You Kill Me?,Why Did You Kill Me?,0.0,2021.0,,83,"Crime,Documentary",why did you kill me?,5.6,5014.0
649,s1080,TV Show,The Baker and the Beauty,,"Victor Rasuk, Nathalie Kelley, Dan Bucatinsky, David Del Rio, Michelle Veintimilla, Lisa Vidal, Carlos Gómez, Belissa Escobedo","Israel, United States","April 13, 2021",2020,TV-PG,1 Season,"Romantic TV Shows, TV Comedies, TV Dramas","A Miami baker and a fashionista try to make romance work despite the heat they face from jealous exes, prying family members and invasive paparazzi.",the baker and the beauty,tt9164986,tvSeries,The Baker and the Beauty,The Baker and the Beauty,0.0,2020.0,2020.0,43,"Comedy,Drama,Romance",the baker and the beauty,7.3,5014.0
650,s1081,Movie,New Gods: Nezha Reborn,Zhao Ji,"Yang Tianxiang, Zhang He, Xuan Xiaoming, Li Shimeng",China,"April 12, 2021",2021,TV-14,118 min,"Action & Adventure, Anime Features, International Movies","While living as an ordinary deliveryman and motor racing fan, Nezha encounters old nemeses and must rediscover his powers to protect his loved ones.",new gods: nezha reborn,tt13269670,movie,New Gods: Nezha Reborn,Xin Shen bang: Nezha chong sheng,0.0,2021.0,,118,"Action,Animation,Fantasy",new gods: nezha reborn,6.8,4274.0
651,s1085,TV Show,Heaven Official's Blessing,,"Jiang Guangtao, Ma Zhengyang, Wen Sen, Hu Liangwei, Huang Ying",China,"April 9, 2021",2020,TV-14,1 Season,"Anime Series, International TV Shows, Romantic TV Shows","Banished to the mortal realm to exorcise ghosts, a deity must reckon with a demon and soon uncovers a dark secret behind the heavenly gods.",heaven official's blessing,tt13375866,tvSeries,Heaven Official's Blessing,Tian Guan Ci Fu,0.0,2020.0,,,"Action,Adventure,Animation",heaven official's blessing,8.2,3491.0
652,s1087,Movie,Ojukokoro: Greed,Dare Olaitan,"Seun Ajayi, Zainab Balogun, Sammie Eddie, Linda Ejiofor, Charles Etubiebi, Shawn Faqua, Lord Frank, Ikubese Emmanuel Ifeanyi, Somkele Iyamah, Ali Nuhu, Wale Ojo",Nigeria,"April 9, 2021",2016,TV-MA,108 min,"Dramas, International Movies, Thrillers","Down and out of luck, the manager of a shady gas station gets in over his head when he tries to steal from his grubby employers.",ojukokoro: greed,tt6660922,movie,Ojukokoro: Greed,Ojukokoro (Greed),0.0,2016.0,,110,"Comedy,Crime,Thriller",ojukokoro: greed,6.5,70.0
653,s1088,Movie,Roohi,Hardik Mehta,"Rajkummar Rao, Varun Sharma, Janhvi Kapoor, Manav Vij, Sarita Joshi, Anuraag Arora, Alexx O'Nell, Rajesh Jais",India,"April 9, 2021",2021,TV-14,133 min,"Comedies, Horror Movies, International Movies","Hired to kidnap a bride, two bumbling pals face a wacky predicament when one falls for their abductee — and the other, for the spirit possessing her.",roohi,tt10098288,movie,Roohi,Roohi,0.0,2021.0,,134,"Comedy,Horror",roohi,4.3,11336.0
654,s1089,Movie,Thunder Force,Ben Falcone,"Melissa McCarthy, Octavia Spencer, Jason Bateman, Bobby Cannavale, Pom Klementieff, Melissa Leo, Taylor Mosby, Marcella Lowery, Melissa Ponzio",United States,"April 9, 2021",2021,PG-13,107 min,"Action & Adventure, Comedies",Two childhood best friends reunite as an unlikely crime-fighting superhero duo when one invents a formula that gives ordinary people superpowers.,thunder force,tt10121392,movie,Thunder Force,Thunder Force,0.0,2021.0,,106,"Action,Adventure,Comedy",thunder force,4.6,47186.0
655,s1091,Movie,Story of Kale: When Someone's in Love,Angga Dwimas Sasongko,"Ardhito Pramono, Aurélie Moeremans, Arya Saloka, Roy Sungkono, Gilbert Pohan, Azizah Hanum, Tanta Ginting",Indonesia,"April 8, 2021",2020,TV-PG,78 min,"Dramas, International Movies, Romantic Movies","After leaving a toxic relationship, Dinda embarks on a romance with Kale, whose view on love soon shatters as he wrestles with his own insecurities.",story of kale: when someone's in love,tt13081264,movie,Story of Kale: When Someone's in Love,Story of Kale: When Someone's in Love,0.0,2020.0,,77,"Drama,Romance",story of kale: when someone's in love,6.3,353.0
656,s1092,TV Show,The Way of the Househusband,,"Kenjiro Tsuda, Shizuka Ito, Kazuyuki Okitsu, M・A・O, Jun Fukushima, Kimiko Saito, Yoshimasa Hosoya, Masashi Nogawa, Junichi Yanagida, Hochu Otsuka, Atsuko Tanaka",Japan,"April 8, 2021",2021,TV-MA,1 Season,"Anime Series, International TV Shows","After disappearing from the underworld, the legendary yakuza Tatsu, ""the Immortal Dragon,"" resurfaces — as a fiercely devoted stay-at-home husband.",the way of the househusband,tt13357124,tvSeries,The Way of the Househusband,Gokushufudo,0.0,2021.0,2023.0,16,"Action,Animation,Comedy",the way of the househusband,7.3,6905.0
657,s1094,TV Show,The Big Day,,,India,"April 7, 2021",2021,TV-14,2 Seasons,"International TV Shows, Reality TV, Romantic TV Shows","For six engaged couples, happily ever after begins on a spectacular note in this eye-popping look at India’s multibillion-dollar wedding industry.",the big day,tt13887518,tvSeries,The Big Day,The Big Day,0.0,2021.0,2021.0,40,"Reality-TV,Romance",the big day,4.6,387.0
658,s1095,TV Show,The Wedding Coach,,,,"April 7, 2021",2021,TV-MA,1 Season,"Reality TV, Romantic TV Shows",Former bride and forever comedian Jamie Lee shares her irreverent yet practical tips and tricks for wedding planning with struggling lovebirds.,the wedding coach,tt14210424,tvSeries,The Wedding Coach,The Wedding Coach,0.0,2021.0,2021.0,,"Comedy,Reality-TV",the wedding coach,5.1,113.0
659,s1098,Movie,Coded Bias,Shalini Kantayya,,"United States, China, United Kingdom","April 5, 2021",2020,TV-MA,86 min,Documentaries,This documentary investigates the bias in algorithms after M.I.T. Media Lab researcher Joy Buolamwini uncovered flaws in facial recognition technology.,coded bias,tt11394170,movie,Coded Bias,Coded Bias,0.0,2020.0,,86,Documentary,coded bias,6.8,2881.0
660,s1099,Movie,Mandela,Madonne Ashwin,"Yogi Babu, Sheela Rajkumar, Sangili Murugan, G. M. Sundhar",India,"April 5, 2021",2021,TV-14,140 min,"Comedies, Dramas, International Movies","Amid a local election with two rivals vying to win by any means necessary, a barber lands in a curiously powerful position as the single deciding vote.",mandela,tt10687070,movie,Mandela,Mandela,0.0,2021.0,,140,"Comedy,Drama",mandela,8.3,9007.0
661,s1100,Movie,The Fisherman's Diary,Enah Johnscott,"Kang Quintus, Faith Fidel, Casson Chinepoh, Ramsey Nouah, Ndamo Damaris, Neba Godwill Awantu, Onyama Laura, Prince Sube, Daphne Nije, Zoe Elora Ebai Mayohchu",Cameroon,"April 4, 2021",2020,TV-MA,143 min,"Dramas, International Movies","Inspired by Nobel Peace Prize winner Malala Yousafzai, a young girl defies the expectations of her father and village to pursue an education",the fisherman's diary,tt13297136,movie,The Fisherman's Diary,The Fisherman's Diary,0.0,2020.0,,143,Drama,the fisherman's diary,6.4,786.0
662,s1101,Movie,What Lies Below,Braden R. Duemmler,"Ema Horvath, Trey Tucker, Mena Suvari, Haskiri Velazquez, Danny Corbo, Olan Montgomery, Troy Iwata",United States,"April 4, 2021",2020,TV-MA,88 min,"Horror Movies, Thrillers","Back home at her lake house, a teenager begins to suspect that a sinister force lurks beneath the surface of her mother's too-perfect new lover.",what lies below,tt9264728,movie,What Lies Below,What Lies Below,0.0,2020.0,,87,"Drama,Horror,Mystery",what lies below,4.4,8923.0
663,s1103,Movie,Accepted,Steve Pink,"Justin Long, Jonah Hill, Adam Herschman, Columbus Short, Maria Thayer, Lewis Black, Blake Lively, Mark Derwin, Ann Cusack, Robin Lord Taylor, Hannah Marks, Anthony Heald",United States,"April 2, 2021",2006,PG-13,93 min,Comedies,"Rejected by every college he applied to, a high school senior invents a fake university that will fool his parents and help his fellow outcasts.",accepted,tt0384793,movie,Accepted,Accepted,0.0,2006.0,,93,Comedy,accepted,6.4,142972.0
664,s1104,Movie,Air Strike,Xiao Feng,"Bruce Willis, Liu Ye, Song Seung-heon, William Chan Wai-ting, Fan Wei, Wu Gang, Ma Su, Janine Chang, Che Yongli, Feng Yuanzheng, Geng Le",China,"April 2, 2021",2018,R,97 min,"Action & Adventure, Dramas, International Movies",The residents of Chongqing try to survive Japanese air raids as a U.S. military advisor trains a squadron of Chinese pilots desperate to fight back.,air strike,tt4743226,movie,Air Strike,Da hong zha,0.0,2018.0,,96,"Action,Adventure,Drama",air strike,3.2,4971.0
